File_Name,Text_Data
10282.6.txt,"{'POSITIVE SCORE': -0.002972708450969314, 'NEGATIVE SCORE': 0.5174577161968468, 'POLARITY SCORE': -0.002972708450969314, 'SUBJECTIVITY SCORE': 0.5174577161968468, 'AVG SENTENCE LENGTH': 26.53030303030303, 'PERCENTAGE OF COMPLEX WORDS': 72.9112610275039, 'FOG INDEX': 39.776625623122776, 'AVG NUMBER OF WORDS PER SENTENCE': 29.196969696969695, 'COMPLEX WORD COUNT': 1405, 'WORD COUNT': 1927, 'SYLLABLES PER WORD': 1.6154644525168655, 'PERSONAL PRONOUNS': 19, 'AVG WORD LENGTH': 5.02854177477945}"
10744.4.txt,"{'POSITIVE SCORE': 0.05608372456964006, 'NEGATIVE SCORE': 0.423013078470825, 'POLARITY SCORE': 0.05608372456964006, 'SUBJECTIVITY SCORE': 0.423013078470825, 'AVG SENTENCE LENGTH': 21.096774193548388, 'PERCENTAGE OF COMPLEX WORDS': 72.51023192360164, 'FOG INDEX': 37.44280244686001, 'AVG NUMBER OF WORDS PER SENTENCE': 23.64516129032258, 'COMPLEX WORD COUNT': 1063, 'WORD COUNT': 1466, 'SYLLABLES PER WORD': 1.5600272851296044, 'PERSONAL PRONOUNS': 30, 'AVG WORD LENGTH': 4.886766712141883}"
11206.2.txt,"{'POSITIVE SCORE': 0.0, 'NEGATIVE SCORE': 0.0, 'POLARITY SCORE': 0.0, 'SUBJECTIVITY SCORE': 0.0, 'AVG SENTENCE LENGTH': 0, 'PERCENTAGE OF COMPLEX WORDS': 0, 'FOG INDEX': 0.0, 'AVG NUMBER OF WORDS PER SENTENCE': 0, 'COMPLEX WORD COUNT': 0, 'WORD COUNT': 0, 'SYLLABLES PER WORD': 0, 'PERSONAL PRONOUNS': 0, 'AVG WORD LENGTH': 0}"
12129.8.txt,"{'POSITIVE SCORE': 0.11575187969924816, 'NEGATIVE SCORE': 0.5561152882205512, 'POLARITY SCORE': 0.11575187969924816, 'SUBJECTIVITY SCORE': 0.5561152882205512, 'AVG SENTENCE LENGTH': 19.91891891891892, 'PERCENTAGE OF COMPLEX WORDS': 74.59727385377943, 'FOG INDEX': 37.80647710907934, 'AVG NUMBER OF WORDS PER SENTENCE': 21.81081081081081, 'COMPLEX WORD COUNT': 602, 'WORD COUNT': 807, 'SYLLABLES PER WORD': 1.486988847583643, 'PERSONAL PRONOUNS': 1, 'AVG WORD LENGTH': 4.727385377942999}"
123.txt,"{'POSITIVE SCORE': 0.043158780163730655, 'NEGATIVE SCORE': 0.36588419830994084, 'POLARITY SCORE': 0.043158780163730655, 'SUBJECTIVITY SCORE': 0.36588419830994084, 'AVG SENTENCE LENGTH': 20.9625, 'PERCENTAGE OF COMPLEX WORDS': 76.13146551724138, 'FOG INDEX': 38.83758620689655, 'AVG NUMBER OF WORDS PER SENTENCE': 23.2, 'COMPLEX WORD COUNT': 1413, 'WORD COUNT': 1856, 'SYLLABLES PER WORD': 1.5889008620689655, 'PERSONAL PRONOUNS': 3, 'AVG WORD LENGTH': 5.192349137931035}"
12591.6.txt,"{'POSITIVE SCORE': 0.14029044241810196, 'NEGATIVE SCORE': 0.5217156366092538, 'POLARITY SCORE': 0.14029044241810196, 'SUBJECTIVITY SCORE': 0.5217156366092538, 'AVG SENTENCE LENGTH': 27.443037974683545, 'PERCENTAGE OF COMPLEX WORDS': 70.83157450401013, 'FOG INDEX': 39.309844991477476, 'AVG NUMBER OF WORDS PER SENTENCE': 29.9873417721519, 'COMPLEX WORD COUNT': 1678, 'WORD COUNT': 2369, 'SYLLABLES PER WORD': 1.5846348670325032, 'PERSONAL PRONOUNS': 7, 'AVG WORD LENGTH': 4.830730265934994}"
13053.4.txt,"{'POSITIVE SCORE': 0.055319148936170216, 'NEGATIVE SCORE': 0.47900494895175744, 'POLARITY SCORE': 0.055319148936170216, 'SUBJECTIVITY SCORE': 0.47900494895175744, 'AVG SENTENCE LENGTH': 19.115384615384617, 'PERCENTAGE OF COMPLEX WORDS': 72.05050065302568, 'FOG INDEX': 36.46635410736412, 'AVG NUMBER OF WORDS PER SENTENCE': 22.08653846153846, 'COMPLEX WORD COUNT': 1655, 'WORD COUNT': 2297, 'SYLLABLES PER WORD': 1.5859817152808011, 'PERSONAL PRONOUNS': 0, 'AVG WORD LENGTH': 5.0317805833696125}"
13515.2.txt,"{'POSITIVE SCORE': 0.07001035868893012, 'NEGATIVE SCORE': 0.4282564935064935, 'POLARITY SCORE': 0.07001035868893012, 'SUBJECTIVITY SCORE': 0.4282564935064935, 'AVG SENTENCE LENGTH': 20.75862068965517, 'PERCENTAGE OF COMPLEX WORDS': 75.3998476770754, 'FOG INDEX': 38.46338734669223, 'AVG NUMBER OF WORDS PER SENTENCE': 22.637931034482758, 'COMPLEX WORD COUNT': 990, 'WORD COUNT': 1313, 'SYLLABLES PER WORD': 1.6923076923076923, 'PERSONAL PRONOUNS': 11, 'AVG WORD LENGTH': 5.258187357197258}"
13977.txt,"{'POSITIVE SCORE': 0.03197103258676351, 'NEGATIVE SCORE': 0.3623890234059726, 'POLARITY SCORE': 0.03197103258676351, 'SUBJECTIVITY SCORE': 0.3623890234059726, 'AVG SENTENCE LENGTH': 14.951807228915662, 'PERCENTAGE OF COMPLEX WORDS': 72.15099715099716, 'FOG INDEX': 34.841121751965126, 'AVG NUMBER OF WORDS PER SENTENCE': 16.91566265060241, 'COMPLEX WORD COUNT': 1013, 'WORD COUNT': 1404, 'SYLLABLES PER WORD': 1.559116809116809, 'PERSONAL PRONOUNS': 6, 'AVG WORD LENGTH': 4.77991452991453}"
14438.8.txt,"{'POSITIVE SCORE': 0.08080569915521373, 'NEGATIVE SCORE': 0.3623530029840709, 'POLARITY SCORE': 0.08080569915521373, 'SUBJECTIVITY SCORE': 0.3623530029840709, 'AVG SENTENCE LENGTH': 26.625, 'PERCENTAGE OF COMPLEX WORDS': 73.60043907793633, 'FOG INDEX': 40.09017563117453, 'AVG NUMBER OF WORDS PER SENTENCE': 28.46875, 'COMPLEX WORD COUNT': 1341, 'WORD COUNT': 1822, 'SYLLABLES PER WORD': 1.5581778265642152, 'PERSONAL PRONOUNS': 32, 'AVG WORD LENGTH': 4.833150384193194}"
